Epoch 110: Loss = 33.2151, NME = 0.0034, Pixel Error = 48.8388, Val Loss = 62.7348, Val NME = 0.0043, Val Pixel Error = 62.5111
Epoch 111: Loss = 23.4393, NME = 0.0029, Pixel Error = 39.2878, Val Loss = 60.2724, Val NME = 0.0040, Val Pixel Error = 58.7780
Epoch 112: Loss = 25.9159, NME = 0.0030, Pixel Error = 42.0782, Val Loss = 68.9622, Val NME = 0.0045, Val Pixel Error = 65.9715
Epoch 113: Loss = 32.7567, NME = 0.0033, Pixel Error = 46.9671, Val Loss = 73.4103, Val NME = 0.0048, Val Pixel Error = 71.5644
Epoch 114: Loss = 34.9652, NME = 0.0035, Pixel Error = 50.1257, Val Loss = 70.6739, Val NME = 0.0044, Val Pixel Error = 66.6353
Epoch 115: Loss = 24.8566, NME = 0.0029, Pixel Error = 41.0667, Val Loss = 62.0189, Val NME = 0.0040, Val Pixel Error = 59.8277
Epoch 116: Loss = 26.8463, NME = 0.0031, Pixel Error = 43.5316, Val Loss = 57.2352, Val NME = 0.0040, Val Pixel Error = 58.9576
Epoch 117: Loss = 33.0549, NME = 0.0034, Pixel Error = 47.3346, Val Loss = 75.7254, Val NME = 0.0048, Val Pixel Error = 72.9320
Epoch 118: Loss = 24.8934, NME = 0.0030, Pixel Error = 42.6024, Val Loss = 73.0118, Val NME = 0.0045, Val Pixel Error = 65.5911
Epoch 119: Loss = 28.9084, NME = 0.0031, Pixel Error = 43.5898, Val Loss = 112.2538, Val NME = 0.0062, Val Pixel Error = 91.7686
Epoch 120: Loss = 29.1879, NME = 0.0032, Pixel Error = 44.9552, Val Loss = 59.3888, Val NME = 0.0040, Val Pixel Error = 59.1182
Epoch 121: Loss = 31.7695, NME = 0.0034, Pixel Error = 48.5455, Val Loss = 68.2852, Val NME = 0.0045, Val Pixel Error = 64.6656
Epoch 122: Loss = 23.0912, NME = 0.0028, Pixel Error = 39.9015, Val Loss = 69.1424, Val NME = 0.0046, Val Pixel Error = 69.4541
Epoch 123: Loss = 26.3569, NME = 0.0029, Pixel Error = 39.9075, Val Loss = 69.1543, Val NME = 0.0044, Val Pixel Error = 67.2363
Epoch 124: Loss = 31.5464, NME = 0.0033, Pixel Error = 46.5623, Val Loss = 58.4204, Val NME = 0.0039, Val Pixel Error = 58.0871
Epoch 125: Loss = 28.5654, NME = 0.0032, Pixel Error = 44.8313, Val Loss = 83.6305, Val NME = 0.0053, Val Pixel Error = 76.1085
Epoch 126: Loss = 39.6225, NME = 0.0037, Pixel Error = 51.7868, Val Loss = 123.6024, Val NME = 0.0067, Val Pixel Error = 95.3123
Epoch 127: Loss = 38.2796, NME = 0.0038, Pixel Error = 55.0049, Val Loss = 63.5713, Val NME = 0.0042, Val Pixel Error = 65.3183
Epoch 128: Loss = 34.6494, NME = 0.0036, Pixel Error = 51.1817, Val Loss = 84.8119, Val NME = 0.0054, Val Pixel Error = 78.0282
Epoch 129: Loss = 29.7175, NME = 0.0033, Pixel Error = 45.4810, Val Loss = 73.4085, Val NME = 0.0047, Val Pixel Error = 69.4913
Epoch 130: Loss = 27.4056, NME = 0.0031, Pixel Error = 43.1484, Val Loss = 62.0793, Val NME = 0.0041, Val Pixel Error = 60.8448
Epoch 131: Loss = 24.2323, NME = 0.0029, Pixel Error = 41.6735, Val Loss = 67.3648, Val NME = 0.0045, Val Pixel Error = 65.2157
Epoch 132: Loss = 30.9688, NME = 0.0033, Pixel Error = 45.7246, Val Loss = 66.3879, Val NME = 0.0044, Val Pixel Error = 66.4403
Epoch 133: Loss = 33.3273, NME = 0.0034, Pixel Error = 48.9219, Val Loss = 92.4367, Val NME = 0.0055, Val Pixel Error = 82.2530
Epoch 134: Loss = 22.3229, NME = 0.0028, Pixel Error = 39.6121, Val Loss = 62.6229, Val NME = 0.0043, Val Pixel Error = 63.2079
Epoch 135: Loss = 36.0844, NME = 0.0035, Pixel Error = 48.4461, Val Loss = 76.5510, Val NME = 0.0048, Val Pixel Error = 70.3003
Epoch 136: Loss = 40.7182, NME = 0.0039, Pixel Error = 57.3632, Val Loss = 52.8626, Val NME = 0.0037, Val Pixel Error = 55.9834
Epoch 137: Loss = 36.2545, NME = 0.0035, Pixel Error = 52.7101, Val Loss = 72.2390, Val NME = 0.0048, Val Pixel Error = 68.7852
Epoch 138: Loss = 30.5257, NME = 0.0033, Pixel Error = 46.2893, Val Loss = 75.3342, Val NME = 0.0048, Val Pixel Error = 70.3832
Epoch 139: Loss = 36.1217, NME = 0.0034, Pixel Error = 47.8613, Val Loss = 75.7787, Val NME = 0.0048, Val Pixel Error = 71.4777
Epoch 140: Loss = 29.0319, NME = 0.0032, Pixel Error = 45.4661, Val Loss = 88.6741, Val NME = 0.0052, Val Pixel Error = 78.9729
Epoch 141: Loss = 28.9723, NME = 0.0032, Pixel Error = 45.2623, Val Loss = 75.0799, Val NME = 0.0049, Val Pixel Error = 70.6534
Epoch 142: Loss = 29.3709, NME = 0.0033, Pixel Error = 46.7708, Val Loss = 70.7905, Val NME = 0.0047, Val Pixel Error = 69.2838
Epoch 143: Loss = 24.1806, NME = 0.0029, Pixel Error = 40.8310, Val Loss = 59.0575, Val NME = 0.0040, Val Pixel Error = 60.8876
Epoch 144: Loss = 23.1145, NME = 0.0028, Pixel Error = 38.8111, Val Loss = 57.1622, Val NME = 0.0040, Val Pixel Error = 58.5707
Epoch 145: Loss = 19.5961, NME = 0.0026, Pixel Error = 35.5957, Val Loss = 57.5448, Val NME = 0.0039, Val Pixel Error = 58.4761
Epoch 146: Loss = 22.8620, NME = 0.0028, Pixel Error = 39.9387, Val Loss = 62.1770, Val NME = 0.0043, Val Pixel Error = 62.1473
Epoch 147: Loss = 23.7491, NME = 0.0028, Pixel Error = 39.9399, Val Loss = 73.3707, Val NME = 0.0048, Val Pixel Error = 70.1878
Epoch 148: Loss = 24.8965, NME = 0.0029, Pixel Error = 40.8120, Val Loss = 59.7092, Val NME = 0.0041, Val Pixel Error = 60.9506
Epoch 149: Loss = 29.4599, NME = 0.0032, Pixel Error = 46.2128, Val Loss = 62.7914, Val NME = 0.0042, Val Pixel Error = 62.3689
Epoch 150: Loss = 30.5253, NME = 0.0034, Pixel Error = 48.6227, Val Loss = 76.8338, Val NME = 0.0048, Val Pixel Error = 70.0140
Epoch 151: Loss = 28.9371, NME = 0.0031, Pixel Error = 43.8574, Val Loss = 59.8828, Val NME = 0.0041, Val Pixel Error = 61.5705
Epoch 152: Loss = 26.1455, NME = 0.0031, Pixel Error = 43.6508, Val Loss = 70.0373, Val NME = 0.0046, Val Pixel Error = 70.2423
Epoch 153: Loss = 20.4738, NME = 0.0027, Pixel Error = 37.3825, Val Loss = 55.0679, Val NME = 0.0039, Val Pixel Error = 56.8657
Epoch 154: Loss = 20.3115, NME = 0.0027, Pixel Error = 36.3576, Val Loss = 58.4916, Val NME = 0.0041, Val Pixel Error = 60.6562
Epoch 155: Loss = 19.1802, NME = 0.0026, Pixel Error = 35.6745, Val Loss = 101.4903, Val NME = 0.0059, Val Pixel Error = 88.5042
Epoch 156: Loss = 28.0117, NME = 0.0032, Pixel Error = 45.3246, Val Loss = 74.3423, Val NME = 0.0049, Val Pixel Error = 72.7843
Epoch 157: Loss = 20.3811, NME = 0.0027, Pixel Error = 38.5503, Val Loss = 69.1825, Val NME = 0.0045, Val Pixel Error = 67.0985
Epoch 158: Loss = 22.9323, NME = 0.0028, Pixel Error = 38.8665, Val Loss = 70.5578, Val NME = 0.0047, Val Pixel Error = 68.5711
Epoch 159: Loss = 23.6389, NME = 0.0029, Pixel Error = 41.3031, Val Loss = 54.0530, Val NME = 0.0038, Val Pixel Error = 57.4473
Epoch 160: Loss = 24.5153, NME = 0.0029, Pixel Error = 40.9818, Val Loss = 73.0271, Val NME = 0.0047, Val Pixel Error = 68.6886
Epoch 161: Loss = 34.1172, NME = 0.0034, Pixel Error = 47.7391, Val Loss = 56.5582, Val NME = 0.0040, Val Pixel Error = 58.9754
